Country,Last_Update,Confirmed,Deaths,Recovered,Incident_Rate,Active,Case_Fatality_Ratio,Continent
Kuwait,2021-03-19 5:26:09,215067,1202,199549,5036.033891,14316,0.5588956,Asia
Kyrgyzstan,2021-03-19 5:26:09,87143,1485,84031,1335.690509,1627,1.704095567,Asia
Laos,2021-03-19 5:26:09,49,0,45,0.6734880468,4,0,Asia
Latvia,2021-03-19 5:26:09,95902,1801,85465,5084.397111,8636,1.87795875,Europe
Lebanon,2021-03-19 5:26:09,430734,5609,337975,6310.712185,87150,1.302195787,Asia
Lesotho,2021-03-19 5:26:09,10530,309,3922,491.5388106,6299,2.934472934,Africa
Liberia,2021-03-19 5:26:09,2042,85,1899,40.37426668,58,4.1625857,Africa
Libya,2021-03-19 5:26:09,149207,2435,136158,2171.456381,10614,1.631960967,Africa
Liechtenstein,2021-03-19 5:26:09,2620,56,2526,6869.968797,38,2.13740458,Europe
Lithuania,2021-03-19 5:26:09,207469,3442,192922,7621.117654,11105,1.659043038,Europe
Luxembourg,2021-03-19 5:26:09,58674,705,54935,9373.202806,3034,1.201554351,Europe
Madagascar,2021-03-19 5:26:09,21999,338,20750,79.44453037,911,1.536433474,Africa
Malawi,2021-03-19 5:26:09,33045,1091,27532,172.7395595,4422,3.301558481,Africa
Malaysia,2021-03-19 5:26:09,328466,1223,312461,1014.848978,14782,0.3723368629,Asia
Maldives,2021-03-19 5:26:09,22147,64,19642,4097.183938,2441,0.2889781912,Asia
Mali,2021-03-19 5:26:09,9118,366,6574,45.02530612,2178,4.014038166,Africa
Malta,2021-03-19 5:26:09,27515,363,24118,6231.61261,3034,1.319280393,Europe
Marshall Islands,2021-03-19 5:26:09,4,0,4,6.847790732,0,0,Oceania
Mauritania,2021-03-19 5:26:09,17542,445,16839,377.2748975,258,2.536768898,Africa
Mauritius,2021-03-19 5:26:09,768,10,592,60.38842021,166,1.302083333,Africa
Mexico,2021-03-19 5:26:09,2182188,196606,0,1638.610409,1985582,9.009581209,Americas
Micronesia,2021-03-19 5:26:09,1,0,1,0.8786188112,0,0,Oceania
Moldova,2021-03-19 5:26:09,210725,4472,183520,5223.771264,22733,2.122197176,Europe
Monaco,2021-03-19 5:26:09,2149,27,1960,5475.996331,162,1.256398325,Europe
Mongolia,2021-03-19 5:26:09,4658,4,3286,142.0861839,1368,0.08587376556,Asia
Montenegro,2021-03-19 5:26:09,85774,1178,76200,13656.93196,8396,1.373376548,Europe
Morocco,2021-03-19 5:26:09,490575,8748,477879,1329.091259,3948,1.783213576,Africa
Mozambique,2021-03-19 5:26:09,65452,737,52363,209.4099794,12352,1.126016012,Africa
Namibia,2021-03-19 5:26:09,41684,483,39105,1640.510745,2096,1.158717973,Africa
Nepal,2021-03-19 5:26:09,275625,3015,271610,945.9684122,1000,1.093877551,Asia
Netherlands,2021-03-19 5:26:09,1193726,16321,15156,5721.287364,1162249,1.367231676,Europe
New Zealand,2021-03-19 5:26:09,2444,26,2363,50.68191437,55,1.063829787,Oceania
Nicaragua,2021-03-19 5:26:09,6582,176,4225,99.35763223,2181,2.673959283,Americas
Niger,2021-03-19 5:26:09,4906,185,4529,20.26716971,192,3.770892784,Africa
Nigeria,2021-03-19 5:26:09,161409,2027,146890,78.30082632,12492,1.255815971,Africa
North Macedonia,2021-03-19 5:26:09,116438,3403,99126,5588.898809,13909,2.92258541,Europe
Norway,2021-03-19 5:26:09,84553,648,17998,1559.661052,65907,0.7663832153,Europe
Oman,2021-03-19 5:26:09,149135,1620,137871,2920.423716,9644,1.086264123,Asia
Pakistan,2021-03-19 5:26:09,619259,13757,578314,629.0366347,27188,2.22152605,Asia
Panama,2021-03-19 5:26:09,349505,6025,338181,8100.203765,5299,1.723866611,Americas
Papua New Guinea,2021-03-19 5:26:09,2479,31,846,27.70752787,1602,1.250504236,Oceania
Paraguay,2021-03-19 5:26:09,188493,3620,155244,2642.722849,29629,1.920495721,Americas
Peru,2021-03-19 5:26:09,1435598,49523,0,4139.830644,1386075,3.449642588,Americas
Philippines,2021-03-19 5:26:09,640984,12887,561530,584.9403663,66567,2.010502602,Asia
Poland,2021-03-19 5:26:09,1984248,48388,1603832,5242.869208,332028,2.438606465,Europe
Portugal,2021-03-19 5:26:09,816055,16743,764599,8003.122969,34713,2.051699947,Europe
Qatar,2021-03-19 5:26:09,172200,270,159472,5976.966811,12458,0.1567944251,Asia
Romania,2021-03-19 5:26:09,881159,21877,794950,4580.380318,64332,2.482752829,Europe
Russia,2021-03-19 5:26:09,4378656,92266,3991385,3087.383539,295005,2.107176266,Asia
Rwanda,2021-03-19 5:26:09,20551,284,19007,158.6679153,1260,1.381927887,Africa
Saint Kitts and Nevis,2021-03-19 5:26:09,44,0,42,82.7192059,2,0,Americas
Saint Lucia,2021-03-19 5:26:09,4097,55,3880,2231.12907,162,1.342445692,Americas
Saint Vincent and the Grenadines,2021-03-19 5:26:09,1684,9,1506,1517.841852,169,0.5344418052,Americas
Samoa,2021-03-19 5:26:09,3,0,2,1.529597716,1,0,Oceania
San Marino,2021-03-19 5:26:09,4292,78,3758,12646.59084,456,1.817334576,Europe
Sao Tome and Principe,2021-03-19 5:26:09,2114,34,1920,964.5876776,160,1.608325449,Africa
Saudi Arabia,2021-03-19 5:26:09,383880,6591,373601,1102.664062,3688,1.716942795,Asia
Senegal,2021-03-19 5:26:09,37428,995,33643,223.5317515,2790,2.658437533,Africa
Serbia,2021-03-19 5:26:09,536904,4840,0,6144.915461,532064,0.9014646939,Europe
Seychelles,2021-03-19 5:26:09,3566,16,2962,3626.194834,588,0.4486819966,Africa
Sierra Leone,2021-03-19 5:26:09,3947,79,2789,49.47984734,1079,2.001520142,Africa
Singapore,2021-03-19 5:26:09,60152,30,60014,1028.179032,108,0.04987365341,Asia
Slovakia,2021-03-19 5:26:09,344470,8814,255300,6309.386896,80356,2.558713386,Europe
Slovenia,2021-03-19 5:26:09,203544,3951,189333,9790.796428,10260,1.941103643,Europe
Solomon Islands,2021-03-19 5:26:09,18,0,16,2.757107978,2,0,Oceania
Somalia,2021-03-19 5:26:09,9600,392,4329,60.40311909,4879,4.083333333,Africa
South Africa,2021-03-19 5:26:09,1533961,51724,1459894,2586.401757,22343,3.371924058,Africa
South Sudan,2021-03-19 5:26:09,9768,106,8215,87.26314528,1447,1.085176085,Africa
Spain,2021-03-19 5:26:09,3212332,72910,150376,6708.47835,2989046,2.26969068,Europe
Sri Lanka,2021-03-19 5:26:09,89024,537,85944,415.7425893,2543,0.6032081237,Asia
Sudan,2021-03-19 5:26:09,30989,1959,23583,70.67164563,5447,6.321597986,Africa
Suriname,2021-03-19 5:26:09,9049,176,8534,1542.529073,339,1.944966295,Americas
Sweden,2021-03-19 5:26:09,738537,13236,0,6542.814591,725301,1.79219186,Europe
Switzerland,2021-03-19 5:26:09,578861,10183,317600,6688.463893,251078,1.759144251,Europe
Syria,2021-03-19 5:26:09,16925,1130,11322,96.71065492,4473,6.676514032,Asia
Taiwan*,2021-03-19 5:26:09,998,10,958,4.190323837,30,1.002004008,Asia
Tajikistan,2021-03-19 5:26:09,13308,90,13218,139.5313433,0,0.6762849414,Asia
Tanzania,2021-03-19 5:26:09,509,21,183,0.8521079871,305,4.125736739,Africa
Thailand,2021-03-19 5:26:09,27494,89,26377,39.38969723,1028,0.3237069906,Asia
Timor-Leste,2021-03-19 5:26:09,229,0,110,17.36898551,119,0,Asia
Togo,2021-03-19 5:26:09,8582,102,7078,103.6631554,1402,1.188534141,Africa
Trinidad and Tobago,2021-03-19 5:26:09,7812,140,7549,558.2029466,123,1.792114695,Americas
Tunisia,2021-03-19 5:26:09,243935,8490,210983,2063.989208,24462,3.480435362,Africa
Turkey,2021-03-19 5:26:09,2950603,29777,2770638,3498.500879,150188,1.009183547,Asia
Uganda,2021-03-19 5:26:09,40625,334,15110,88.81528607,25181,0.8221538462,Africa
Ukraine,2021-03-19 5:26:09,1553659,30811,1289841,3648.129253,233007,1.983124997,Europe
United Arab Emirates,2021-03-19 5:26:09,434465,1424,416105,4392.795034,16936,0.3277594283,Asia
United Kingdom,2021-03-19 5:26:09,4294328,126163,12086,3361.008149,4156079,2.937898549,Europe
Uruguay,2021-03-19 5:26:09,76816,749,64492,2211.342457,11575,0.9750572797,Americas
Uzbekistan,2021-03-19 5:26:09,80971,622,79533,241.9269132,816,0.7681762606,Asia
Vanuatu,2021-03-19 5:26:09,3,0,1,1.02501025,2,0,Oceania
Venezuela,2021-03-19 5:26:09,148208,1467,139314,521.1995255,7427,0.9898251107,South America
Vietnam,2021-03-19 5:26:09,2570,35,2198,2.640268556,337,1.361867704,Asia
West Bank and Gaza,2021-03-19 5:26:09,218061,2358,193578,4274.519075,22125,1.081348797,Asia
Yemen,2021-03-19 5:26:09,3126,723,1520,10.48079982,883,23.12859885,Asia
Zambia,2021-03-19 5:26:09,85889,1175,82527,467.1954176,2187,1.368044802,Africa
Zimbabwe,2021-03-19 5:26:09,36611,1509,34226,246.324294,876,4.121712054,Africa
